obsID obs_collection dataproduct_type obs_id description type dataURI productType productGroupDescription productSubGroupDescription productDocumentationURL project prvversion proposal_id productFilename size parent_obsid dataRights calib_level filters
24804146 HST image ibp701050 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/ibp701050_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 12518 ibp701050_drz.fits 217512000 26553742 PUBLIC 3 F350LP
24807222 HST image ibxl04010 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/ibxl04010_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 12812 ibxl04010_drz.fits 222744960 24807222 PUBLIC 3 F673N
24807222 HST image ibxl04010 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/ibxl04010_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 12812 ibxl04010_drz.fits 222744960 26312140 PUBLIC 3 F673N
24807223 HST image ibxl04020 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/ibxl04020_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 12812 ibxl04020_drz.fits 222693120 24807223 PUBLIC 3 F657N
24807223 HST image ibxl04020 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/ibxl04020_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 12812 ibxl04020_drz.fits 222693120 26312138 PUBLIC 3 F657N
24807224 HST image ibxl04030 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/ibxl04030_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 12812 ibxl04030_drz.fits 222693120 24807224 PUBLIC 3 F814W
24807224 HST image ibxl04030 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/ibxl04030_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 12812 ibxl04030_drz.fits 222693120 26312142 PUBLIC 3 F814W
24807225 HST image ibxl04040 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/ibxl04040_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 12812 ibxl04040_drz.fits 222768000 24807225 PUBLIC 3 F502N
24807225 HST image ibxl04040 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/ibxl04040_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 12812 ibxl04040_drz.fits 222768000 26312135 PUBLIC 3 F502N
24807226 HST image ibxl04050 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/ibxl04050_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 12812 ibxl04050_drz.fits 222744960 24807226 PUBLIC 3 F606W
24807226 HST image ibxl04050 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/ibxl04050_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 12812 ibxl04050_drz.fits 222744960 26312145 PUBLIC 3 F606W
